"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","124.000000","-19.800000","top","90.000000"
"C2","133.250000","-19.800000","top","90.000000"
"C3","137.000000","-26.550000","top","0.000000"
"C4","136.250000","-23.550000","top","90.000000"
"C5","130.250000","-26.550000","top","180.000000"
"C6","96.750000","-33.250000","top","0.000000"
"C7","122.000000","-85.000000","top","0.000000"
"C8","139.000000","-85.000000","top","0.000000"
"C9","156.000000","-85.000000","top","0.000000"
"C10","173.000000","-85.000000","top","0.000000"
"C11","190.000000","-85.000000","top","0.000000"
"C12","207.000000","-85.000000","top","0.000000"
"C13","213.000000","-64.000000","top","90.000000"
"C14","213.000000","-47.000000","top","90.000000"
"C15","213.000000","-30.000000","top","90.000000"
"C16","213.000000","-13.000000","top","90.000000"
"C17","196.000000","-3.000000","top","180.000000"
"C18","179.000000","-3.000000","top","180.000000"
"C19","162.000000","-3.000000","top","180.000000"
"C20","145.000000","-3.000000","top","180.000000"
"C21","128.000000","-3.000000","top","180.000000"
"C22","111.000000","-3.000000","top","180.000000"
"C23","94.000000","-3.000000","top","180.000000"
"C24","77.000000","-3.000000","top","180.000000"
"C25","60.000000","-3.000000","top","180.000000"
"C26","43.000000","-3.000000","top","180.000000"
"C27","26.000000","-3.000000","top","180.000000"
"C28","9.000000","-3.000000","top","180.000000"
"C29","3.000000","-24.000000","top","-90.000000"
"C30","3.000000","-41.000000","top","-90.000000"
"C31","3.000000","-58.000000","top","-90.000000"
"C32","3.000000","-75.000000","top","-90.000000"
"C33","20.000000","-85.000000","top","0.000000"
"C34","37.000000","-85.000000","top","0.000000"
"C35","54.000000","-85.000000","top","0.000000"
"C36","71.000000","-85.000000","top","0.000000"
"C37","88.000000","-85.000000","top","0.000000"
"C38","105.000000","-85.000000","top","0.000000"
"C39","108.500000","-53.000000","top","0.000000"
"C40","85.000000","-30.750000","top","90.000000"
"C41","82.500000","-36.250000","top","180.000000"
"C42","131.000000","-29.275000","top","90.000000"
"C43","128.000000","-33.265000","top","180.000000"
"D1","116.500000","-83.000000","top","180.000000"
"D2","133.500000","-83.000000","top","180.000000"
"D3","150.500000","-83.000000","top","180.000000"
"D4","167.500000","-83.000000","top","180.000000"
"D5","184.500000","-83.000000","top","180.000000"
"D6","201.500000","-83.000000","top","180.000000"
"D7","211.000000","-69.500000","top","-90.000000"
"D8","211.000000","-52.500000","top","-90.000000"
"D9","211.000000","-35.500000","top","-90.000000"
"D10","211.000000","-18.500000","top","-90.000000"
"D11","201.500000","-5.000000","top","0.000000"
"D12","184.500000","-5.000000","top","0.000000"
"D13","167.500000","-5.000000","top","0.000000"
"D14","150.500000","-5.000000","top","0.000000"
"D15","133.500000","-5.000000","top","0.000000"
"D16","116.500000","-5.000000","top","0.000000"
"D17","99.500000","-5.000000","top","0.000000"
"D18","82.500000","-5.000000","top","0.000000"
"D19","65.500000","-5.000000","top","0.000000"
"D20","48.500000","-5.000000","top","0.000000"
"D21","31.500000","-5.000000","top","0.000000"
"D22","14.500000","-5.000000","top","0.000000"
"D23","5.000000","-18.500000","top","90.000000"
"D24","5.000000","-35.500000","top","90.000000"
"D25","5.000000","-52.500000","top","90.000000"
"D26","5.000000","-69.500000","top","90.000000"
"D27","14.500000","-83.000000","top","180.000000"
"D28","31.500000","-83.000000","top","180.000000"
"D29","48.500000","-83.000000","top","180.000000"
"D30","65.500000","-83.000000","top","180.000000"
"D31","82.500000","-83.000000","top","180.000000"
"D32","99.500000","-83.000000","top","180.000000"
"J1","81.788000","-44.000000","top","-90.000000"
"R1","91.000000","-40.250000","top","90.000000"
"R2","91.000000","-47.750000","top","-90.000000"
"R3","116.250000","-35.750000","top","180.000000"
"R4","116.250000","-33.750000","top","180.000000"
"R5","130.250000","-24.300000","top","0.000000"
"R6","116.250000","-53.500000","top","0.000000"
"R7","104.600000","-48.800000","top","0.000000"
"R8","116.200000","-44.400000","top","90.000000"
"R9","121.000000","-26.250000","top","-90.000000"
"R10","117.750000","-26.175000","top","-90.000000"
"R11","121.000000","-29.750000","top","-90.000000"
"R12","117.750000","-29.675000","top","-90.000000"
"SW1","134.000000","-66.000000","top","180.000000"
"SW2","134.000000","-60.000000","top","0.000000"
"U1","132.560000","-44.600000","top","-90.000000"
"U2","94.000000","-44.000000","top","0.000000"
"U3","128.750000","-19.550000","top","0.000000"
"U4","108.400000","-50.400000","top","180.000000"
"U5","86.000000","-34.000000","top","0.000000"
